Trial,Attempts
1427,597775
9734,404281
2927,137992
1660,21592
9330,44654
2763,197189
8420,302556
472,67418
9928,268018
2438,124448
5645,121779
4401,243089
8675,299464
3361,41452
4676,208480
8997,391010
7505,60873
5160,301545
4088,706460
4763,34384
5842,440488
1151,1411
8782,655520
5987,1738
144,386511
7942,728699
299,41537
7483,86843
6497,71889
9500,90090
1294,66393
3138,195245
5517,189174
2512,90971
5236,84729
2952,83951
8137,43272
1081,123704
6416,37490
5896,649664
591,319730
5319,14076
9601,464773
8748,20322
4786,53320
5618,284330
1987,81168
8050,21986
8562,45731
1990,32986
444,143372
7617,90027
7783,350521
9157,609961
244,507566
5161,88450
5822,37722
6305,207627
8030,160531
2238,283884
7064,20390
1460,81857
6777,144020
4048,41579
5825,152307
9137,267870
3722,88047
7627,82097
4272,236003
4026,99422
890,39606
201,201942
6313,385553
6364,134544
225,571897
5268,16425
9962,212239
7522,298603
6162,180684
9666,66896
9987,158295
3011,91602
852,41441
9294,162763
9004,91215
2087,498314
7713,223289
1981,311165
1418,318716
9879,104555
6709,137192
4643,170786
6508,55001
218,6710
7725,104366
1741,91246
6540,101712
2453,19575
9832,137713
6369,191446
4473,147438
197,91766
4079,618436
8004,23791
6044,529710
3576,20842
8445,292676
1189,339715
2456,784021
1708,28867
1257,363693
8405,414423
6738,99296
2696,138785
5948,60021
9193,50691
7326,109519
267,68253
7232,421175
4265,407515
1500,349452
6219,76629
8519,24074
4299,22128
6712,213583
1883,24103
7475,221280
9653,199252
1796,351763
7596,878387
4422,62291
7227,71342
1698,431650
5261,98959
3406,12656
8891,75279
7933,9205
503,108120
3968,245563
156,73541
3955,269390
5298,234577
3650,21974
2157,32407
575,18285
1118,10819
9990,248281
929,121212
2445,68031
4785,62888
1452,237096
8928,589680
85,301898
6617,22951
1771,643104
2806,31265
8184,66239
9089,114548
3255,61387
6378,287908
2709,770798
264,409651
2986,34455
4117,38646
5014,11132
4616,98226
3847,91776
5183,124252
6834,242950
4183,75135
3019,144875
9947,305673
3288,53307
6907,254410
3527,142611
1083,42270
2416,121197
8617,188770
258,157198
1106,445900
1139,260903
5792,87450
5978,286264
6810,82171
7820,45252
3263,6610
2683,360009
4967,1122333
4591,137393
2316,93913
3488,60185
9292,308304
3594,163426
9503,10391
6252,25126
5753,390801
2245,137099
1016,182560
4829,90662
4018,55567
9419,31486
7297,125354
9976,27792
2386,42666
223,295270
576,70634
4635,119775
9750,22688
5010,247704
3042,111279
8609,41787
8777,505368
9171,18502
5180,178440
8893,248027
469,25255
3151,172783
3408,59621
8233,170052
1064,41978
1111,52154
5999,54611
7792,473341
5016,164101
1142,41619
7877,21776
1801,634993
6896,62557
116,167202
1029,372229
3520,266781
7551,421125
3223,488
6141,253985
3285,164989
2737,429736
1044,509453
3924,88661
3957,54166
2635,77836
5873,41317
9866,451858
2620,5910
7879,122639
7054,184512
5401,394186
9466,255929
7526,89629
3368,53728
5859,272061
1487,1129894
7295,56308
776,223747
3025,36296
5573,87526
3432,322397
5518,8345
1770,296139
4369,192978
6137,31451
2619,69176
1011,78912
2027,475653
4556,22146
6474,94324
6989,145483
2323,154760
4498,236016
832,16962
2717,9557
8601,219523
7463,92902
6840,631905
5837,604190
8752,11385
7884,259210
8892,106315
2903,62059
537,518906
7202,30862
30,98385
6733,70997
3474,102297
3781,330320
6816,70807
2187,45632
8019,349784
1859,26982
3237,134675
9256,176400
8487,17018
8640,5381
1136,22016
4303,27036
51,246443
5334,248782
9435,7781
1390,272541
9418,173625
4968,3707
4982,156764
3262,623348
8604,434422
8259,131288
384,61761
3570,166178
8960,12246
2889,232320
3697,86401
9177,8077
3499,132498
2397,223768
8771,21643
5113,180302
2084,155442
9033,104365
6518,107551
4490,19841
1649,94879
2034,130002
9463,176445
9166,215161
9996,115525
8031,18730
6310,69479
6412,47700
1836,250557
8161,30155
7721,191255
9430,106931
1246,39013
779,239313
8572,29213
5300,676261
4404,89518
7560,552499
8587,3976
9164,73573
4552,293720
148,35584
5407,133742
5549,88976
9599,445546
904,235629
8816,164998
377,15117
933,288874
8390,266687
4658,181885
5379,3836
8162,596881
5852,208457
1559,4642
9057,148679
262,126241
1397,104319
4082,219240
9808,330139
4351,39625
7875,56259
8692,208785
969,148033
7590,168825
7698,252836
9218,287863
6338,320160
1528,487268
313,82913
2820,359273
3128,277438
8069,6509
2863,326667
5116,33711
4613,65533
5785,285734
2300,169745
7892,104609
4811,397763
2497,70009
4549,296135
695,20487
2449,6174
465,194198
6554,10623
5734,277866
1434,405822
5,50332
4844,524344
3578,229064
3144,41040
6242,56430
1960,336088
399,162915
7072,565020
2850,191612
5772,187025
8154,128909
5492,182737
282,13521
1057,58902
6633,436202
5250,43030
549,292949
120,249251
7984,135937
6471,121543
5849,62948
9384,792570
8756,29060
1416,523619
3351,20439
9836,147542
3070,1014493
3952,231402
4986,814883
3318,108532
2288,527226
5321,212031
7778,86378
2911,22646
2543,508472
6958,33110
2485,68631
4289,93177
9424,13470
3813,229380
7936,87624
6480,144578
2698,295894
2920,4955
112,22301
1929,236735
5738,87798
7056,99869
2576,292367
7978,51228
8902,354716
8940,28211
4300,34026
2226,192437
2154,403483
9168,30274
3243,124184
81,388040
1631,67192
7387,90822
98,119686
1226,371526
3589,84743
8163,98457
2888,270266
651,38967
8295,32554
3945,234485
3608,44341
5875,2359
5315,15894
6230,35758
1225,177543
3064,187559
4842,561477
2949,449567
3563,70766
5496,201290
2831,254858
7026,247531
9116,160305
5249,132158
1852,183511
4609,74032
2746,234799
5277,167134
9272,35137
4708,84299
3218,122573
9312,238943
8336,249924
768,137292
241,421197
5794,285546
3067,33791
2604,169202
4791,31217
7837,578620
7351,384217
9480,71934
8564,110128
1875,98016
4309,176
1320,165466
7730,569755
3471,132753
